# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	156704
#@/user_id	droid-rMBP
a 	啊	c=61 d=1.05722 t=155644
shang ban 	上班	c=6 d=1 t=114737
shang bao 	上報	c=3 d=1 t=151303
shang bu qu 	上不去	c=2 d=1 t=155839
shang ceng 	上層	c=1 d=1 t=146583
shang chuan 	上傳	c=138 d=1.32029 t=155932
shang chuan zhe 	上傳者	c=1 d=1 t=116152
shang ci 	上次	c=21 d=1.94649 t=138944
shang de 	上的	c=1 d=1 t=24961
shang dian 	商店	c=2 d=1 t=50376
shang ge 	上個	c=4 d=1.00002 t=72803
shang hai 	上海	c=6 d=1 t=115466
shang hai 	傷害	c=3 d=2.97521 t=128006
shang hai shi 	上海市	c=1 d=1 t=1055
shang ji 	上級	c=1 d=1 t=70941
shang jia 	上架	c=1 d=1 t=55950
shang la 	上拉	c=2 d=1.00127 t=2560
shang lai 	上來	c=3 d=1 t=44176
shang li bai 	上禮拜	c=1 d=1 t=156475
shang liang 	商量	c=1 d=1 t=44913
shang mian 	上面	c=60 d=1.00016 t=156341
shang qu 	上去	c=62 d=1.29789 t=154257
shang shang 	上上	c=1 d=1 t=46538
shang sheng 	上升	c=1 d=1 t=135570
shang wu 	上午	c=9 d=1 t=142095
shang wu 	商務	c=1 d=1 t=70648
shang xia 	上下	c=12 d=1.00001 t=127116
shang xia wen 	上下文	c=3 d=2.9459 t=99617
shang xian 	上線	c=17 d=1 t=144571
shang xian 	上限	c=7 d=1 t=150175
shang xian ti 	上線題	c=1 d=1 t=62942
shang ye 	商業	c=1 d=1 t=57108
shang yi ge 	上一個	c=1 d=1 t=83827
shang you 	上游	c=3 d=1 t=128378
shang zhou 	上週	c=3 d=0.1 t=110594
shang zhou wu 	上週五	c=1 d=1 t=110595
shao 	少	c=17 d=1 t=147330
shao 	燒	c=2 d=1.65377 t=13351
shao an wu zao 	稍安勿躁	c=1 d=1 t=53193
shao deng 	稍等	c=328 d=2.62586 t=156011
shao deng ge 	稍等個	c=1 d=1 t=105599
shao ge 	少個	c=1 d=1 t=154261
shao hou 	稍後	c=16 d=1 t=104847
shao kao 	燒烤	c=2 d=1 t=70118
shao le 	少了	c=2 d=1 t=145548
shao wei 	稍微	c=6 d=1 t=92300
shao xing 	紹興	c=70 d=4.52341 t=154200
shao yu 	少於	c=1 d=1 t=46303
she 	設	c=6 d=1 t=120077
she bei 	設備	c=37 d=1.18731 t=143873
she he 	設和	c=2 d=1 t=133954
she ji 	涉及	c=24 d=1.9476 t=151949
she ji 	設計	c=97 d=1.05156 t=156675
she ji qi 	設計器	c=1 d=1 t=34835
she ji tu 	設計圖	c=2 d=1 t=141838
she me 	什麼	c=792 d=1.11977 t=156260
she qu 	社區	c=2 d=1 t=37997
she shi 	設施	c=1 d=1 t=149526
she wei 	設爲	c=2 d=1 t=58260
she xian 	涉嫌	c=1 d=1 t=41776
she xiang 	攝像	c=1 d=1 t=88499
she xiang tou 	攝像頭	c=1 d=1 t=88493
she zhi 	設置	c=124 d=1.18526 t=156562
shen 	審	c=6 d=1.00006 t=138419
shen 	沈	c=12 d=1 t=74457
shen 	深	c=8 d=1.12431 t=126645
shen 	神	c=2 d=1 t=144065
shen 	身	c=2 d=1 t=54803
shen bian 	身邊	c=2 d=1.90484 t=131642
shen cha 	審查	c=1 d=1 t=73495
shen du 	深度	c=5 d=1 t=107392
shen fen 	身份	c=4 d=1 t=82276
shen fen zheng 	身份證	c=1 d=1 t=12703
shen gou ren 	申購人	c=1 d=1 t=43304
shen he 	審覈	c=216 d=2.87096 t=151480
shen lan 	深藍	c=2 d=1.99501 t=140155
shen lou 	滲漏	c=12 d=1.59771 t=110957
shen pi 	審批	c=25 d=1.87882 t=80047
shen qing 	申請	c=77 d=1 t=155830
shen ti 	身體	c=2 d=1.94176 t=94461
sheng 	剩	c=2 d=1 t=137139
sheng 	昇	c=3 d=1 t=131341
sheng 	生	c=1 d=1 t=2953
sheng 	省	c=8 d=1.0973 t=86498
sheng 	聲	c=2 d=1 t=89208
sheng chan 	生產	c=1 d=1 t=24026
sheng cheng 	生成	c=91 d=2.45758 t=154754
sheng cheng ceng 	生成層	c=1 d=1 t=112346
sheng dan jie 	聖誕節	c=1 d=1 t=103405
sheng fen 	省份	c=2 d=1.91851 t=46727
sheng gao 	升高	c=1 d=1 t=12858
sheng huo 	生活	c=10 d=1 t=144216
sheng ji 	升級	c=27 d=1.01857 t=155646
sheng li 	省力	c=1 d=1 t=138297
sheng lve 	省略	c=1 d=1 t=47003
sheng lve hao 	省略號	c=1 d=1 t=47043
sheng qi 	生氣	c=1 d=1 t=23594
sheng ri 	生日	c=3 d=1 t=114579
sheng tai 	生態	c=2 d=1 t=79761
sheng xia 	剩下	c=3 d=1 t=150568
sheng xiao 	生效	c=67 d=1.91393 t=156544
sheng xin 	省心	c=1 d=1 t=94443
sheng xu 	升序	c=13 d=1 t=130315
sheng yin 	聲音	c=10 d=1 t=144888
sheng yu 	剩餘	c=1 d=1 t=22606
shi 	事	c=38 d=1.00002 t=140200
shi 	十	c=4 d=1 t=151129
shi 	室	c=1 d=1 t=70650
shi 	市	c=21 d=1 t=100371
shi 	式	c=0 d=0.1 t=91997
shi 	是	c=4347 d=6.26166 t=156632
shi 	時	c=41 d=1 t=156398
shi 	視	c=1 d=1 t=67796
shi 	試	c=39 d=1.00001 t=152342
shi ba 	是吧	c=9 d=1 t=144513
shi bai 	失敗	c=75 d=1 t=156572
shi bie 	識別	c=12 d=1.0476 t=147327
shi bu 	是不	c=3 d=1 t=148724
shi bu shi 	是不是	c=128 d=1.05744 t=156536
shi bu shi o 	是不是哦	c=1 d=1 t=146480
shi cha 	時差	c=2 d=1.99501 t=120609
shi chang 	市場	c=1 d=1 t=43242
shi chang 	時長	c=12 d=1 t=100374
shi chu xi 	十齣戲	c=1 d=1 t=116630
shi cong 	是從	c=1 d=1 t=143163
shi de 	使得	c=1 d=1 t=142214
shi fang 	釋放	c=5 d=1.0006 t=147352
shi fou 	是否	c=114 d=1.8914 t=152337
shi fou shi 	是否是	c=1 d=1 t=140562
shi gong 	施工	c=2 d=1 t=138645
shi guo 	試過	c=6 d=1 t=149367
shi hou 	時候	c=102 d=1.50834 t=156261
shi hou mian 	是後面	c=1 d=1 t=153682
shi hua 	實話	c=2 d=1 t=86287
shi ji 	實際	c=19 d=1.9802 t=154773
shi jian 	事件	c=2 d=1 t=40769
shi jian 	時間	c=340 d=1.66293 t=155978
shi jian chuo 	時間戳	c=22 d=1 t=154886
shi jian duan 	時間段	c=1 d=1 t=64147
shi jian fan wei 	時間範圍	c=1 d=1 t=95272
shi jian xian 	時間線	c=1 d=1 t=126900
shi jian zhou 	時間軸	c=1 d=1 t=95695
shi jie 	世界	c=2 d=1 t=150412
shi juan 	試卷	c=3 d=1.00799 t=152763
shi ke biao 	時刻表	c=1 d=1 t=2963
shi li 	實例	c=8 d=1.47237 t=147819
shi li 	示例	c=4 d=2.80521 t=80992
shi liu 	十六	c=4 d=1 t=75174
shi ma 	是嗎	c=1 d=1 t=42156
shi ming 	實名	c=1 d=1 t=89348
shi pei 	適配	c=7 d=1 t=141643
shi pin 	視頻	c=121 d=1.00551 t=154325
shi qu 	時區	c=1 d=1 t=120678
shi shi 	實施	c=2 d=1.99501 t=1507
shi shi 	實時	c=33 d=1 t=154010
shi shi 	試試	c=8 d=1.45393 t=155415
shi shuo 	是說	c=1 d=1 t=83666
shi ti 	實體	c=1 d=1 t=40205
shi tou 	石頭	c=1 d=1 t=122858
shi tu 	視圖	c=5 d=3.86844 t=3032
shi wu 	事務	c=3 d=1 t=152488
shi wu 	事物	c=1 d=1 t=78692
shi xi 	實習	c=2 d=1.67032 t=94558
shi xia 	試下	c=478 d=1.15264 t=156383
shi xian 	實現	c=84 d=1.00066 t=154907
shi xiao 	失效	c=36 d=1.90484 t=143722
shi xiao 	時效	c=2 d=1 t=45598
shi xu 	時序	c=2 d=1.83946 t=147100
shi xun 	實訓	c=1 d=1 t=91182
shi ye bu 	事業部	c=1 d=1 t=138022
shi ying 	適應	c=1 d=1 t=156141
shi yong 	使用	c=151 d=1 t=156554
shi yong 	試用	c=7 d=1 t=120291
shi yong qi 	試用期	c=1 d=1 t=98405
shi yong zhe 	使用者	c=1 d=1 t=95005
shi zai 	實在	c=6 d=1 t=147011
shou 	受	c=1 d=1 t=9358
shou 	手	c=7 d=1 t=117801
shou 	收	c=6 d=1.20701 t=104178
shou 	熟	c=13 d=1 t=146340
shou 	首	c=1 d=1 t=53332
shou bu dao 	收不到	c=6 d=1.38481 t=104330
shou cang 	收藏	c=25 d=1 t=136114
shou ci 	首次	c=7 d=1 t=101555
shou dao 	收到	c=52 d=1.54881 t=153542
shou dao le 	受到了	c=1 d=1 t=106285
shou dao le 	收到了	c=1 d=1 t=106286
shou dong 	手動	c=81 d=1 t=154108
shou dou 	手抖	c=1 d=1 t=69989
shou fei 	收費	c=1 d=1 t=127466
shou gong 	手工	c=1 d=1 t=2446
shou gou 	收購	c=2 d=1.05642 t=702
shou hui an 	受賄案	c=3 d=1 t=109845
shou huo 	收穫	c=0 d=0.1 t=844
shou huo hao 	收穫好	c=1 d=1 t=845
shou ji 	手機	c=84 d=1.00021 t=154224
shou ji 	收集	c=3 d=1.79852 t=156490
shou ji ban 	手機版	c=1 d=1 t=17794
shou ji dian 	手機店	c=7 d=1 t=152123
shou ji duan xin 	手機短信	c=1 d=1 t=127805
shou ji hao 	手機號	c=171 d=1.89583 t=156003
shou ji shang 	手機上	c=3 d=1 t=39607
shou ji yan zheng 	手機驗證	c=2 d=1 t=90722
shou ji yan zheng ma 	手機驗證碼	c=5 d=1 t=151422
shou jian 	收件	c=2 d=1 t=116740
shou jian ren 	收件人	c=1 d=1 t=55424
shou jian xiang 	收件箱	c=4 d=1.44124 t=83622
shou jiao 	手腳	c=1 d=1 t=121316
shou jing luan 	受精卵	c=1 d=1 t=69885
shou ju 	收據	c=1 d=1 t=123755
shou quan 	授權	c=93 d=1.00038 t=150348
shou ru 	收入	c=1 d=1 t=110526
shou shang 	手上	c=2 d=1 t=100324
shou shu 	手術	c=4 d=1.82283 t=94505
shou si 	壽司	c=1 d=1 t=126355
shou tou 	手頭	c=1 d=1 t=55575
shou xi 	熟悉	c=2 d=1 t=138690
shou xian 	首先	c=4 d=1 t=146386
shou xie 	手寫	c=1 d=1 t=39960
shou ye 	首頁	c=36 d=1 t=144093
shou yuan 	受援	c=1 d=1 t=62572
shou zi mu 	首字母	c=6 d=1 t=147490
shu 	屬	c=1 d=1 t=95992
shu 	數	c=59 d=1.8781 t=155307
shu 	書	c=6 d=1.01398 t=152720
shu 	樹	c=21 d=2.45763 t=137741
shu 	輸	c=4 d=1 t=90699
shu 	鼠	c=3 d=2.97516 t=114590
shu biao 	鼠標	c=1 d=1 t=573
shu chu 	輸出	c=32 d=1.25032 t=155882
shu fang 	書房	c=3 d=1 t=117600
shu ju 	數據	c=514 d=1.71682 t=156351
shu ju ba 	數據吧	c=1 d=1 t=87589
shu ju bu wan zheng 	數據不完整	c=1 d=1 t=92287
shu ju chong fu 	數據重複	c=1 d=1 t=91200
shu ju ji 	數據集	c=1 d=1 t=132704
shu ju jie gou 	數據結構	c=4 d=1 t=111832
shu ju ku 	數據庫	c=343 d=1.01299 t=156674
shu ju ku biao 	數據庫表	c=1 d=1 t=45285
shu ju lai yuan 	數據來源	c=1 d=1 t=21926
shu ju liang 	數據量	c=4 d=1.41895 t=36260
shu ju lie 	數據列	c=1 d=1 t=43149
shu ju ma 	數據嗎	c=4 d=1 t=139839
shu ju yuan 	數據源	c=9 d=1.86071 t=142649
shu lian 	熟練	c=3 d=1 t=59632
shu liang 	數量	c=31 d=1 t=146217
shu luan guan 	輸卵管	c=1 d=1 t=94521
shu ma 	數碼	c=1 d=1 t=110532
shu mei 	樹莓	c=5 d=2.8036 t=13349
shu mei pai 	樹莓派	c=40 d=1.84789 t=131607
shu qian 	書籤	c=1 d=1 t=63889
shu ru 	輸入	c=33 d=1 t=147851
shu ru fa 	輸入法	c=6 d=1 t=156703
shu xing 	屬性	c=57 d=1 t=97537
shu xing 	樹形	c=13 d=2.27099 t=136894
shu yao 	束腰	c=1 d=1 t=138988
shu yu 	屬於	c=1 d=1 t=66289
shu zi 	數字	c=15 d=1 t=140092
shu zu 	數組	c=14 d=1.0032 t=148053
shua 	刷	c=8 d=1 t=144043
shua xin 	刷新	c=114 d=1.17392 t=155842
shuang 	雙	c=14 d=2.02137 t=143856
shuang ji 	雙擊	c=1 d=1 t=71854
shuang kai 	雙開	c=3 d=1.94649 t=143866
shuang yin hao 	雙引號	c=3 d=1 t=122158
shuang zi 	雙子	c=1 d=1 t=120288
shuang zi zuo 	雙子座	c=1 d=1 t=120279
shui 	水	c=79 d=1 t=109750
shui 	睡	c=8 d=1 t=137464
shui 	誰	c=84 d=1 t=156474
shui biao 	水錶	c=1 d=1 t=138001
shui fei 	水費	c=1 d=1 t=92116
shui guan 	水管	c=0 d=0.1 t=34967
shui guan jia 	水管家	c=2 d=1 t=42330
shui li 	水利	c=1 d=1 t=6947
shui liang 	水量	c=1 d=1 t=92609
shui mian 	睡眠	c=1 d=1 t=6915
shui o 	水哦	c=1 d=1 t=86647
shui shuo 	誰說	c=1 d=1 t=41624
shui si 	水司	c=5 d=2.93181 t=58007
shui wu 	水務	c=58 d=1 t=153175
shui wu ju 	水務局	c=1 d=1 t=1035
shui wu tong 	水務通	c=52 d=1 t=155886
shui xie 	水協	c=3 d=3.03735 t=1049
shui xie hui 	水協會	c=1 d=1 t=1042
shui yin 	水印	c=16 d=2.15012 t=144494
shui zhi 	水質	c=4 d=1.02155 t=2105
shun 	順	c=2 d=1 t=90522
shun bian 	順便	c=3 d=1.8781 t=149523
shun feng 	順風	c=1 d=1 t=94134
shun hua 	順滑	c=1 d=1 t=141655
shun xu 	順序	c=10 d=1 t=151814
shuo 	說	c=384 d=1.02897 t=156429
shuo guo 	說過	c=4 d=1 t=122231
shuo hua 	說話	c=1 d=1 t=33705
shuo le 	說了	c=1 d=1 t=48752
shuo ming 	說明	c=46 d=1.00006 t=150417
shuo shi 	說是	c=1 d=1 t=89999
shuo xia 	說下	c=1 d=1 t=48792
si 	司	c=8 d=1.25417 t=24335
si 	四	c=21 d=1.03142 t=151130
si 	思	c=14 d=1 t=150958
si 	斯	c=1 d=1 t=48506
si 	死	c=50 d=1.00083 t=154915
si 	私	c=6 d=1 t=114545
si liao 	私聊	c=5 d=1 t=156489
si lu 	思路	c=1 d=1 t=87129
si pi 	死皮	c=1 d=1 t=24061
si she wu ru 	四捨五入	c=1 d=1 t=96069
si xin 	私信	c=1 d=1 t=22364
si xun huan 	死循環	c=1 d=1 t=108034
si yao 	私鑰	c=5 d=1.956 t=121244
si you 	私有	c=5 d=1 t=113982
si you hua 	私有化	c=7 d=2.10311 t=151228
song 	宋	c=2 d=1 t=108686
song 	送	c=19 d=1 t=100534
sou 	搜	c=29 d=1 t=155416
sou dao 	搜到	c=0 d=0.1 t=16841
sou suo 	搜索	c=92 d=1.00011 t=152719
sou xia 	搜下	c=3 d=1 t=148419
su du 	速度	c=7 d=1 t=108650
su ji 	速記	c=1 d=1 t=26282
su liao 	塑料	c=3 d=1 t=133446
su lv 	速率	c=1 d=1 t=24427
su zhu 	宿主	c=6 d=1 t=120406
su zhu ji 	宿主機	c=2 d=1 t=102267
suan 	算	c=62 d=1.98093 t=136791
suan fa 	算法	c=10 d=2.93559 t=147922
suan le 	算了	c=6 d=1 t=131992
sui 	隨	c=2 d=1 t=119854
sui 	雖	c=1 d=1 t=10260
sui bian 	隨便	c=17 d=1 t=120119
sui dao 	隧道	c=3 d=1 t=109944
sui ji 	隨機	c=24 d=1 t=133849
sui ji shu 	隨機數	c=3 d=1 t=94991
sui shi 	隨時	c=2 d=1 t=109843
sui shou 	隨手	c=5 d=1.956 t=39377
sui shou pai 	隨手拍	c=3 d=1 t=122122
sui xing 	隨行	c=3 d=1 t=105284
sui yi 	隨意	c=2 d=1 t=134128
sun 	損	c=2 d=1 t=39966
sun huai 	損壞	c=2 d=1.97531 t=24484
suo 	所	c=9 d=1 t=153521
suo 	縮	c=2 d=1.9802 t=45156
suo 	鎖	c=6 d=1 t=132248
suo ding 	鎖定	c=4 d=1 t=151585
suo fang 	縮放	c=1 d=1 t=45149
suo lve 	縮略	c=1 d=1 t=8165
suo qu 	索取	c=2 d=1.98511 t=38818
suo shu 	所屬	c=3 d=1 t=18827
suo yi 	所以	c=80 d=1.41319 t=152642
suo yin 	索引	c=24 d=1 t=119705
suo you 	所有	c=98 d=1.00001 t=156057
suo zai 	所在	c=22 d=1 t=146463
ta 	他	c=251 d=2.54283 t=156476
ta 	她	c=51 d=1.99005 t=156068
ta 	它	c=18 d=1 t=156318
ta men 	他們	c=48 d=1.03649 t=155388
ta ren 	他人	c=1 d=1 t=103351
tai 	太	c=56 d=1 t=156072
tai 	態	c=1 d=1 t=99069
tai 	臺	c=46 d=1.01784 t=151885
tai chang 	太長	c=1 d=1 t=13
tai duo 	太多	c=1 d=1 t=12955
tai jiu 	太久	c=1 d=1 t=5924
tai kong 	太空	c=1 d=1 t=74957
tai kuai 	太快	c=1 d=1 t=140088
tai leng 	太冷	c=2 d=1 t=145732
tai shi 	臺式	c=1 d=1 t=9799
tai tai 	太太	c=1 d=1 t=115467
tai wan 	臺灣	c=2 d=1 t=17374
tan 	彈	c=3 d=1 t=148282
tan ce 	探測	c=2 d=1.92774 t=98671
tan chu 	彈出	c=2 d=1 t=143880
tang 	堂	c=1 d=1 t=11170
tang 	湯	c=1 d=1 t=137469
tao 	套	c=10 d=1 t=148805
tao 	桃	c=1 d=1 t=38821
tao 	濤	c=9 d=1.00025 t=150213
tao bao 	淘寶	c=1 d=1 t=147022
tao can 	套餐	c=1 d=1 t=122015
tao ge 	套個	c=1 d=1 t=131867
tao jian 	套件	c=1 d=1 t=156512
tao jie 	套接	c=1 d=1 t=104443
tao lun 	討論	c=45 d=1 t=154680
te 	特	c=1 d=1 t=36449
te di 	特地	c=1 d=1 t=4647
te shu 	特殊	c=19 d=1 t=146496
te xiao 	特效	c=1 d=1 t=59319
te xing 	特性	c=2 d=1 t=138751
teng 	疼	c=4 d=1 t=142381
teng xun 	騰訊	c=145 d=1 t=150643
teng xun yun 	騰訊雲	c=15 d=2.53361 t=89844
ti 	提	c=5 d=1 t=147689
ti 	踢	c=5 d=1 t=23068
ti 	題	c=54 d=3.35913 t=156171
ti 	體	c=6 d=1.00123 t=122103
ti 	鵜	c=1 d=1 t=105853
ti a 	提啊	c=1 d=1 t=137122
ti chu 	提出	c=3 d=1 t=99205
ti chu 	踢出	c=1 d=1 t=40945
ti dai 	替代	c=5 d=1 t=52960
ti dai pin 	替代品	c=9 d=1 t=156704
ti gao 	提高	c=7 d=1 t=151600
ti gong 	提供	c=48 d=1 t=150670
ti huan 	替換	c=27 d=1 t=148642
ti huan cheng 	替換成	c=2 d=1 t=154283
ti jian 	體檢	c=1 d=1 t=57000
ti jiao 	提交	c=380 d=1.22084 t=156239
ti jiao e 	提交額	c=1 d=1 t=7903
ti jiao hou 	提交後	c=1 d=1 t=96393
ti jiao jia 	提交加	c=1 d=1 t=85445
ti jiao le 	提交了	c=10 d=1 t=133021
ti jiao o 	提交哦	c=1 d=1 t=155359
ti jiao shu 	提交數	c=1 d=1 t=83521
ti ku 	題庫	c=57 d=1.00067 t=156519
ti mu 	題目	c=47 d=1.61812 t=156356
ti qian 	提前	c=13 d=1 t=154123
ti qu 	提取	c=16 d=1.94176 t=148914
ti sheng 	提升	c=5 d=1 t=153082
ti shi 	提示	c=22 d=1.0773 t=152522
ti su 	提速	c=6 d=1 t=150651
ti wen 	提問	c=7 d=1 t=52417
ti xi 	體系	c=2 d=1.9802 t=138024
ti xing 	提醒	c=49 d=1 t=151957
ti xing 	題型	c=3 d=1.91393 t=154975
ti yan 	體驗	c=3 d=1 t=145467
ti yan ban 	體驗版	c=1 d=1 t=5451
tian 	填	c=62 d=1.04577 t=156161
tian 	天	c=17 d=2.05491 t=129932
tian 	田	c=11 d=1 t=130539
tian chong 	填充	c=2 d=1 t=71080
tian jia 	添加	c=431 d=1.00054 t=155908
tian jin shi 	天津市	c=1 d=1 t=26287
tian ka 	天卡	c=1 d=1 t=96822
tian kong ti 	填空題	c=3 d=1 t=133861
tian qi 	天氣	c=6 d=1 t=144547
tian qi yu bao 	天氣預報	c=1 d=1 t=17612
tian ru 	填入	c=1 d=1 t=9924
tian shu 	天數	c=9 d=1 t=150181
tian tian 	天天	c=2 d=1 t=113077
tian wai 	天外	c=10 d=1 t=153119
tian wai lai ke 	天外來客	c=1 d=1 t=150430
tian wen 	天問	c=2 d=1.99005 t=37448
tiao 	條	c=23 d=1 t=148332
tiao 	調	c=26 d=1 t=155660
tiao 	跳	c=21 d=1 t=137880
tiao ban 	跳板	c=3 d=1 t=83375
tiao ban ji 	跳板機	c=7 d=1.956 t=107321
tiao chuan 	跳船	c=2 d=1 t=134635
tiao dao 	跳到	c=5 d=1 t=150920
tiao guo 	跳過	c=10 d=1 t=146733
tiao jian 	條件	c=18 d=1 t=143789
tiao pin 	調頻	c=1 d=1 t=94156
tiao shi 	調試	c=34 d=1 t=148807
tiao xiu 	調休	c=19 d=1 t=142096
tiao you 	調優	c=3 d=1 t=73496
tiao zheng 	調整	c=37 d=1 t=151861
tiao zhuan 	跳轉	c=115 d=1 t=156319
tiao zhuan ye 	跳轉也	c=1 d=1 t=104719
tie 	貼	c=1 d=1 t=72391
tie chu 	貼出	c=1 d=1 t=67124
ting 	停	c=6 d=1.13332 t=133489
ting 	廳	c=15 d=1 t=138188
ting 	聽	c=5 d=1 t=135774
ting bu dao 	聽不到	c=3 d=1 t=81198
ting dao 	聽到	c=5 d=1.98511 t=113272
ting dian 	停電	c=1 d=1 t=142291
ting dun 	停頓	c=1 d=1 t=37120
ting jian 	聽見	c=2 d=1 t=121016
ting shuo 	聽說	c=7 d=1 t=142524
ting yong 	停用	c=7 d=1 t=119550
ting zhi 	停止	c=2 d=1 t=101346
tong 	同	c=35 d=1 t=151857
tong 	桶	c=4 d=0.1 t=119605
tong 	痛	c=1 d=1 t=22119
tong 	通	c=44 d=1 t=146771
tong bao 	通報	c=2 d=1 t=149486
tong bi 	同比	c=2 d=1.77492 t=92149
tong bu 	同步	c=165 d=1.92312 t=154814
tong bu guo 	同步過	c=2 d=1 t=37994
tong dao 	通道	c=2 d=1 t=126412
tong guo 	通過	c=64 d=1 t=151781
tong hua 	通話	c=1 d=1 t=105325
tong ji 	同級	c=1 d=1 t=91760
tong ji 	統計	c=48 d=1 t=147107
tong kong 	瞳孔	c=1 d=1 t=151863
tong kuai de 	痛快地	c=1 d=1 t=83936
tong ling 	統領	c=1 d=1 t=139089
tong ming 	同名	c=8 d=1 t=151058
tong pei fu 	通配符	c=2 d=1 t=115964
tong pei zhi 	通配置	c=1 d=1 t=89322
tong shi 	同事	c=3 d=1 t=134258
tong shi 	同時	c=12 d=1.00006 t=146287
tong xin 	通信	c=19 d=1 t=114867
tong xing 	同行	c=1 d=1 t=104022
tong xue 	同學	c=1 d=1 t=94555
tong xun lu 	通訊錄	c=83 d=1 t=150267
tong yi 	同一	c=1 d=1 t=45778
tong yi 	同意	c=3 d=1 t=100315
tong yi 	統一	c=250 d=1.92612 t=155750
tong yi ge 	同一個	c=7 d=1 t=146960
tong yi ping tai 	統一平臺	c=19 d=1.00042 t=141724
tong yong 	通用	c=13 d=1 t=148478
tong zhi 	通知	c=63 d=1.21028 t=148085
tou 	投	c=1 d=1 t=126769
tou 	透	c=10 d=3.56942 t=94337
tou 	頭	c=31 d=1 t=120991
tou bu 	頭部	c=1 d=1 t=78407
tou ming 	透明	c=3 d=2.88437 t=77481
tou su 	投訴	c=8 d=1 t=117319
tou teng 	頭疼	c=1 d=1 t=35820
tou tong 	頭痛	c=7 d=1 t=149069
tou xiang 	頭像	c=82 d=1.00194 t=145526
tou zi 	投資	c=3 d=1.99005 t=129867
tu 	圖	c=39 d=1 t=155091
tu biao 	圖標	c=15 d=1 t=119193
tu er 	圖爾	c=1 d=1 t=36807
tu er qi 	土耳其	c=1 d=1 t=64014
tu ku 	圖庫	c=1 d=1 t=45163
tu pian 	圖片	c=91 d=1 t=152975
tu ran 	突然	c=13 d=1 t=154297
tu rang 	土壤	c=1 d=1 t=87117
tu wen 	圖文	c=41 d=1 t=133258
tu xing 	圖形	c=30 d=1 t=147089
tu zi 	兔子	c=1 d=1 t=133046
tuan 	團	c=1 d=1 t=34492
tuan dui 	團隊	c=5 d=1 t=149512
tuan dui ming 	團隊名	c=1 d=1 t=82457
tui 	推	c=40 d=2.86537 t=153553
tui 	退	c=11 d=1 t=153149
tui chi 	推遲	c=1 d=1 t=9757
tui chu 	退出	c=12 d=1 t=146613
tui dong 	推動	c=3 d=1.04264 t=5860
tui guo lai 	推過來	c=1 d=1 t=126598
tui jian 	推薦	c=21 d=1 t=147091
tui jie 	推介	c=1 d=1 t=11179
tui kuan 	退款	c=1 d=1 t=43755
tui song 	推送	c=200 d=2.28354 t=154156
tun 	臀	c=1 d=1 t=10257
tun tu liang 	吞吐量	c=1 d=1 t=6224
tuo 	拖	c=2 d=1.74453 t=91847
tuo feng 	駝峯	c=1 d=1 t=116955
tuo ke 	脫殼	c=2 d=1.99005 t=142854
tuo man 	拖慢	c=1 d=1 t=67324
tuo pu 	拓撲	c=1 d=1 t=133930
vandyke 	VanDyke	c=4 d=1 t=112821
vandyke can nve duan xin 	VanDyke殘虐短信	c=1 d=1 t=105725
verdana 	Verdana	c=1 d=1 t=90753
wa 	挖	c=2 d=1 t=47887
wa dai 	襪帶	c=0 d=0.1 t=85383
wai 	外	c=10 d=1 t=151009
wai bu 	外部	c=5 d=1 t=88717
wai ceng 	外層	c=1 d=1 t=82046
wai di 	外地	c=1 d=1 t=76530
wai gong 	外公	c=1 d=1 t=150767
wai jie 	外接	c=2 d=1.96561 t=122347
wai mai 	外賣	c=2 d=1 t=70510
wai mian 	外面	c=17 d=1 t=140880
wai po 	外婆	c=2 d=1 t=150771
wai wang 	外網	c=47 d=1.01668 t=153955
wai xing 	外星	c=4 d=1.99006 t=153105
wai zhi 	外置	c=2 d=1 t=146328
wan 	完	c=37 d=1.03623 t=148794
wan 	晚	c=3 d=1 t=71106
wan 	萬	c=6 d=1.75201 t=123799
wan cheng 	完成	c=33 d=1 t=155385
wan cheng ceng 	完成層	c=1 d=1 t=111164
wan dian 	晚點	c=19 d=1 t=150504
wan fan 	晚飯	c=1 d=1 t=60532
wan he ceng 	完何曾	c=1 d=1 t=111827
wan jia 	玩家	c=1 d=1 t=81441
wan nian li 	萬年曆	c=1 d=1 t=77510
wan pan 	碗盤	c=3 d=1 t=147300
wan quan 	完全	c=18 d=1 t=142283
wan shan 	完善	c=43 d=1.00004 t=150127
wan shang 	晚上	c=64 d=1.88692 t=144541
wan sheng jie 	萬聖節	c=2 d=1.99501 t=95562
wan xiang 	萬象	c=1 d=1 t=123708
wan yi 	萬一	c=1 d=1 t=96781
wan zheng 	完整	c=41 d=1.00009 t=155739
wan zheng bao 	完整包	c=1 d=1 t=36996
wan zheng xing 	完整性	c=3 d=1.73345 t=155757
wang 	往	c=1 d=1 t=83146
wang 	忘	c=73 d=1.01216 t=151420
wang 	王	c=65 d=1 t=138079
wang 	網	c=29 d=1 t=155069
wang guan 	網管	c=4 d=2.85087 t=148193
wang guan 	網關	c=31 d=1 t=152417
wang ji 	忘記	c=10 d=1.99005 t=92031
wang ka 	網卡	c=4 d=2.98012 t=38834
wang le 	忘了	c=2 d=1 t=118114
wang li hong 	王力宏	c=1 d=1 t=101331
